Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Homo_sapiens	RREB1	ENSG00000124782	zf-C2H2	ENSP00000369265.3;ENSP00000419511.1;ENSP00000305560.10;ENSP00000335574.6;ENSP00000369270.2;ENSP00000420519.1;ENSP00000420299.1;	6239
Homo_sapiens		ENSG00000261459	zf-C2H2	ENSP00000454241.1;	NA
Homo_sapiens	ZFP57	ENSG00000204644	zf-C2H2	ENSP00000418259.2;ENSP00000366080.2;	346171
Homo_sapiens	GATAD2A	ENSG00000167491	zf-GATA	ENSP00000353463.3;ENSP00000508398.1;ENSP00000351552.3;ENSP00000384899.2;	54815
Homo_sapiens	AFF1	ENSG00000172493	AF-4	ENSP00000305689.6;ENSP00000424881.1;ENSP00000425755.1;ENSP00000378578.4;ENSP00000501252.1;ENSP00000424483.1;ENSP00000427593.1;ENSP00000424766.1;ENSP00000440843.3;	4299
Homo_sapiens	ZSCAN21	ENSG00000166529	zf-C2H2	ENSP00000292450.4;	7589
Homo_sapiens		ENSG00000285708	Fork_head	ENSP00000497585.1;	NA
Homo_sapiens	HOXD8	ENSG00000175879	Homeobox	ENSP00000409026.2;ENSP00000315949.4;ENSP00000406045.1;ENSP00000437431.2;	3234
Homo_sapiens	DMRT2	ENSG00000173253	DM	ENSP00000259622.6;ENSP00000489226.1;ENSP00000397494.2;ENSP00000371686.3;ENSP00000350865.2;ENSP00000371690.3;	10655
Homo_sapiens	PAX1	ENSG00000125813	PAX	ENSP00000410355.2;ENSP00000481334.1;ENSP00000381499.2;	5075
Homo_sapiens	ZFP91	ENSG00000186660	zf-C2H2	ENSP00000339030.5;	80829
Homo_sapiens	ZNF30	ENSG00000168661	zf-C2H2	ENSP00000303889.7;ENSP00000403441.1;ENSP00000469954.1;	90075
Homo_sapiens	EGR4	ENSG00000135625	zf-C2H2	ENSP00000419687.1;ENSP00000445626.1;	NA
Homo_sapiens	ETV1	ENSG00000006468	ETS	ENSP00000384138.1;ENSP00000405327.1;ENSP00000385551.2;ENSP00000385686.1;ENSP00000382293.3;ENSP00000384085.4;ENSP00000242066.5;ENSP00000385381.2;ENSP00000411626.2;	2115
Homo_sapiens	ZNF679	ENSG00000197123	zf-C2H2	ENSP00000416809.1;ENSP00000255746.4;	168417
Homo_sapiens	TSC22D2	ENSG00000196428	TSC22	ENSP00000354543.2;ENSP00000510392.1;ENSP00000417747.1;	9819
Homo_sapiens	ZNF236	ENSG00000130856	zf-C2H2	ENSP00000322361.9;ENSP00000463787.1;ENSP00000253159.8;ENSP00000444524.2;	7776
Homo_sapiens	ZBTB2	ENSG00000181472	ZBTB	ENSP00000323183.4;ENSP00000323183.4;	57621
Homo_sapiens	NSD2	ENSG00000109685	HMG	ENSP00000425761.1;ENSP00000329167.5;ENSP00000504406.1;ENSP00000427516.2;ENSP00000372347.5;ENSP00000381311.1;ENSP00000423972.1;ENSP00000372348.2;ENSP00000308780.6;ENSP00000372351.3;ENSP00000421681.1;ENSP00000424482.1;ENSP00000399251.2;	7468
Homo_sapiens	MYOG	ENSG00000122180	bHLH	ENSP00000241651.4;	4656
Homo_sapiens	MEIS1	ENSG00000143995	Homeobox	ENSP00000454209.1;ENSP00000381518.2;ENSP00000440571.1;ENSP00000475161.1;ENSP00000272369.8;	NA
Homo_sapiens	ZNF32	ENSG00000169740	zf-C2H2	ENSP00000363556.2;ENSP00000379143.1;	7580
Homo_sapiens	HOXB6	ENSG00000108511	Homeobox	ENSP00000225648.3;ENSP00000420009.2;	3216
Homo_sapiens	FOXE3	ENSG00000186790	Fork_head	ENSP00000334472.2;	NA
Homo_sapiens	GTF2IRD1	ENSG00000006704	GTF2I	ENSP00000408477.2;ENSP00000418383.1;ENSP00000417909.1;ENSP00000265755.3;ENSP00000397566.2;	9569
Homo_sapiens	ZNF223	ENSG00000178386	zf-C2H2	ENSP00000401947.1;ENSP00000467647.1;	7766
Homo_sapiens	TLX3	ENSG00000164438	Homeobox	ENSP00000296921.5;	NA
Homo_sapiens	FOXQ1	ENSG00000164379	Fork_head	ENSP00000296839.2;	94234
Homo_sapiens	ALX3	ENSG00000156150	Homeobox	ENSP00000497310.1;ENSP00000497035.1;	NA
Homo_sapiens	TSC22D1	ENSG00000102804	TSC22	ENSP00000261489.2;ENSP00000481585.1;ENSP00000397435.2;ENSP00000483407.1;	8848
Homo_sapiens	HOXA5	ENSG00000106004	Homeobox	ENSP00000222726.3;	3202
Homo_sapiens	RFX3	ENSG00000080298	RFX	ENSP00000405664.1;ENSP00000351574.2;ENSP00000303847.2;ENSP00000482598.1;ENSP00000371434.3;	5991
Homo_sapiens	PDX1	ENSG00000139515	Homeobox	ENSP00000370421.4;	3651
Homo_sapiens	ELK1	ENSG00000126767	ETS	ENSP00000345585.4;ENSP00000247161.3;ENSP00000366182.3;	2002
Homo_sapiens	ZNF316	ENSG00000205903	zf-C2H2	ENSP00000477706.1;	100131017
Homo_sapiens	ZNF268	ENSG00000090612	zf-C2H2	ENSP00000228289.5;ENSP00000444412.3;	10795
Homo_sapiens	SOX15	ENSG00000129194	HMG	ENSP00000458286.1;ENSP00000355354.2;ENSP00000439311.2;	6665
Homo_sapiens	PGR	ENSG00000082175	ESR-like	ENSP00000325120.5;ENSP00000436561.1;ENSP00000482698.1;ENSP00000432914.1;ENSP00000436803.1;ENSP00000432352.1;ENSP00000487607.1;ENSP00000263463.5;	5241
Homo_sapiens	TRPS1	ENSG00000104447	zf-GATA	ENSP00000428910.1;ENSP00000428680.1;ENSP00000220888.5;ENSP00000379065.3;ENSP00000428121.1;ENSP00000492037.1;	7227
Homo_sapiens	MAZ	ENSG00000103495	zf-C2H2	ENSP00000458201.1;ENSP00000455913.1;ENSP00000219782.6;ENSP00000443956.1;ENSP00000461630.1;ENSP00000460057.1;ENSP00000313362.6;ENSP00000455794.1;	4150
Homo_sapiens	NKX6-2	ENSG00000148826	Homeobox	ENSP00000357581.5;	84504
Homo_sapiens	NR4A3	ENSG00000119508	NGFIB-like	ENSP00000333122.1;ENSP00000482027.1;ENSP00000378531.2;ENSP00000340301.4;	8013
Homo_sapiens	UBTFL1	ENSG00000255009	HMG	ENSP00000485108.1;	642623
Homo_sapiens	CEBPB	ENSG00000172216	TF_bZIP	ENSP00000305422.3;	1051
Homo_sapiens	ZNF354A	ENSG00000169131	zf-C2H2	ENSP00000337122.2;	6940
Homo_sapiens	CEBPD	ENSG00000221869	TF_bZIP	ENSP00000386165.3;	1052
Homo_sapiens	ZNF135	ENSG00000176293	zf-C2H2	ENSP00000321406.5;ENSP00000427691.1;ENSP00000369437.4;ENSP00000422074.1;ENSP00000441410.1;	7694
Homo_sapiens	NKX2-3	ENSG00000119919	Homeobox	ENSP00000342828.7;	NA
Homo_sapiens	SOX2	ENSG00000181449	HMG	ENSP00000323588.1;	6657
Homo_sapiens	MAFF	ENSG00000185022	TF_bZIP	ENSP00000388882.2;ENSP00000441482.1;ENSP00000345393.2;ENSP00000442060.1;ENSP00000416493.1;ENSP00000391589.1;ENSP00000384094.1;	23764
Homo_sapiens	ZBTB45	ENSG00000119574	ZBTB	ENSP00000346603.2;ENSP00000346603.2;ENSP00000469089.1;ENSP00000470316.1;ENSP00000473072.1;	84878
Homo_sapiens	ZNF461	ENSG00000197808	zf-C2H2	ENSP00000467931.1;ENSP00000479585.1;ENSP00000353515.4;	92283
Homo_sapiens	SP2	ENSG00000167182	zf-C2H2	ENSP00000365931.4;	6668
Homo_sapiens	PINX1	ENSG00000258724	HMG	ENSP00000451145.1;	54984
Homo_sapiens	ZNF500	ENSG00000103199	zf-C2H2	ENSP00000445714.1;ENSP00000464747.1;ENSP00000219478.5;	26048
Homo_sapiens	ESRRB	ENSG00000119715	ESR-like	ENSP00000423004.1;ENSP00000424992.2;ENSP00000493776.1;ENSP00000422488.1;ENSP00000494434.1;ENSP00000370270.2;	2103
Homo_sapiens	ZNF439	ENSG00000171291	zf-C2H2	ENSP00000305077.2;ENSP00000395632.1;ENSP00000506930.1;	90594
Homo_sapiens	NOBOX	ENSG00000106410	Homeobox	ENSP00000496732.1;ENSP00000419457.1;ENSP00000495343.1;ENSP00000419565.1;	135935
Homo_sapiens	ZNF581	ENSG00000171425	zf-C2H2	ENSP00000466047.1;ENSP00000270451.4;ENSP00000466564.1;ENSP00000466338.1;	51545
Homo_sapiens	ZNF600	ENSG00000189190	zf-C2H2	ENSP00000509267.1;ENSP00000509375.1;ENSP00000497540.1;ENSP00000510246.1;ENSP00000344791.2;	162966
Homo_sapiens	GZF1	ENSG00000125812	ZBTB	ENSP00000338290.5;ENSP00000338290.5;ENSP00000366250.2;	64412
Homo_sapiens	ZNF8	ENSG00000278129	zf-C2H2	ENSP00000477716.1;	NA
Homo_sapiens	HOXA1	ENSG00000105991	Homeobox	ENSP00000494260.2;	3198
Homo_sapiens	ZNF713	ENSG00000178665	zf-C2H2	ENSP00000487818.1;ENSP00000416662.3;	349075
Homo_sapiens	LCOR	ENSG00000196233	HTH	ENSP00000501887.1;ENSP00000348298.2;ENSP00000501639.1;ENSP00000360144.3;ENSP00000360138.3;ENSP00000502316.1;ENSP00000501560.1;ENSP00000443431.1;ENSP00000502416.1;ENSP00000502633.1;ENSP00000502138.1;	84458
Homo_sapiens	E2F3	ENSG00000112242	E2F	ENSP00000262904.4;ENSP00000443418.1;	1871
Homo_sapiens	IRF4	ENSG00000137265	IRF	ENSP00000436094.1;ENSP00000370343.4;	3662
Homo_sapiens	ZNF17	ENSG00000186272	zf-C2H2	ENSP00000471905.1;ENSP00000302455.7;	7565
Homo_sapiens	EMX1	ENSG00000135638	Homeobox	ENSP00000446992.1;ENSP00000258106.6;	2016
Homo_sapiens	ZNF583	ENSG00000198440	zf-C2H2	ENSP00000388502.2;ENSP00000291598.7;	147949
Homo_sapiens	PRRX2	ENSG00000167157	Homeobox	ENSP00000361547.4;	NA
Homo_sapiens	GCM1	ENSG00000137270	GCM	ENSP00000259803.7;	8521
Homo_sapiens	MAFK	ENSG00000198517	TF_bZIP	ENSP00000386009.1;ENSP00000344903.4;ENSP00000385437.2;	7975
Homo_sapiens	TSHZ3	ENSG00000121297	zf-C2H2	ENSP00000240587.4;	57616
Homo_sapiens	MZF1	ENSG00000099326	zf-C2H2	ENSP00000469493.1;ENSP00000215057.1;	7593
Homo_sapiens	ZNF205	ENSG00000122386	zf-C2H2	ENSP00000460890.1;ENSP00000219091.4;ENSP00000480401.1;ENSP00000371627.3;	7755
Homo_sapiens	ZNF672	ENSG00000171161	zf-C2H2	ENSP00000421915.1;ENSP00000426199.1;ENSP00000427021.1;	79894
Homo_sapiens	PLAGL1	ENSG00000118495	zf-C2H2	ENSP00000501459.1;ENSP00000496979.1;ENSP00000486355.1;ENSP00000346810.2;ENSP00000485907.1;ENSP00000487447.1;ENSP00000395960.2;ENSP00000356543.1;ENSP00000486752.1;ENSP00000486632.1;ENSP00000496815.1;ENSP00000353734.2;ENSP00000496874.1;ENSP00000400929.1;ENSP00000356544.1;ENSP00000486763.1;ENSP00000497363.1;ENSP00000400060.1;ENSP00000392418.1;ENSP00000497492.1;	5325
Homo_sapiens	ZNF578	ENSG00000258405	zf-C2H2	ENSP00000459216.1;	147660
Homo_sapiens	ZNF665	ENSG00000197497	zf-C2H2	ENSP00000498600.1;ENSP00000469154.1;ENSP00000379702.2;	79788
Homo_sapiens	E2F1	ENSG00000101412	E2F	ENSP00000345571.5;	1869
Homo_sapiens	ZBTB42	ENSG00000179627	ZBTB	ENSP00000409107.2;ENSP00000409107.2;ENSP00000450673.1;ENSP00000450673.1;	100128927
Homo_sapiens	ZNF736	ENSG00000234444	zf-C2H2	ENSP00000400852.1;ENSP00000347210.4;	728927
Homo_sapiens	ZNF705A	ENSG00000196946	zf-C2H2	ENSP00000352233.4;ENSP00000379816.3;ENSP00000481663.1;	440077
Homo_sapiens	HOXA10	ENSG00000253293	Homeobox	ENSP00000379633.4;ENSP00000283921.4;	3206
Homo_sapiens	BACH2	ENSG00000112182	TF_bZIP	ENSP00000257749.4;ENSP00000397668.1;ENSP00000345642.3;ENSP00000384145.2;ENSP00000437473.1;	60468
Homo_sapiens	ZNF770	ENSG00000198146	zf-C2H2	ENSP00000348673.4;ENSP00000453474.1;	54989
Homo_sapiens	HEY1	ENSG00000164683	bHLH	ENSP00000429705.1;ENSP00000338272.5;ENSP00000501370.1;ENSP00000346761.3;ENSP00000501342.1;ENSP00000501320.1;ENSP00000501529.1;	23462
Homo_sapiens	ZNF446	ENSG00000083838	zf-C2H2	ENSP00000478778.1;ENSP00000472802.1;ENSP00000472219.1;	55663
Homo_sapiens	ZNF571	ENSG00000180479	zf-C2H2	ENSP00000467572.1;ENSP00000392638.1;ENSP00000351594.3;ENSP00000333660.2;	51276
Homo_sapiens	MYF5	ENSG00000111049	bHLH	ENSP00000228644.3;	NA
Homo_sapiens	POU6F2	ENSG00000106536	Pou	ENSP00000430514.3;ENSP00000384004.1;	11281
Homo_sapiens	ZMIZ2	ENSG00000122515	zf-MIZ	ENSP00000265346.7;ENSP00000409648.1;ENSP00000396601.1;ENSP00000311778.4;ENSP00000414723.1;	83637
Homo_sapiens	NFILZ	ENSG00000268480	TF_bZIP	ENSP00000500604.1;ENSP00000509575.1;ENSP00000500121.1;ENSP00000499970.1;	105372267
Homo_sapiens	ZNF415	ENSG00000170954	zf-C2H2	ENSP00000395055.2;ENSP00000243643.3;ENSP00000439435.1;ENSP00000472911.1;	55786
Homo_sapiens	ZNF776	ENSG00000152443	zf-C2H2	ENSP00000321812.5;	284309
Homo_sapiens	KLF17	ENSG00000171872	zf-C2H2	ENSP00000361373.3;	128209
Homo_sapiens	TCF15	ENSG00000125878	bHLH	ENSP00000246080.3;	NA
Homo_sapiens	ZNF549	ENSG00000121406	zf-C2H2	ENSP00000240719.2;ENSP00000365407.2;	256051
Homo_sapiens	MESP1	ENSG00000166823	bHLH	ENSP00000300057.4;	55897
Homo_sapiens	MAEL	ENSG00000143194	HMG	ENSP00000356846.4;	84944
Homo_sapiens	JAZF1	ENSG00000153814	zf-C2H2	ENSP00000283928.5;	221895
Homo_sapiens	PAX6	ENSG00000007372	PAX	ENSP00000492024.1;ENSP00000491210.1;ENSP00000492822.1;ENSP00000491280.1;ENSP00000368406.3;ENSP00000491267.1;ENSP00000492808.1;ENSP00000492397.1;ENSP00000491492.1;ENSP00000404100.1;ENSP00000492437.1;ENSP00000491295.1;ENSP00000492756.1;ENSP00000491365.1;ENSP00000404356.2;ENSP00000492129.1;ENSP00000492587.1;ENSP00000491948.1;ENSP00000491872.1;ENSP00000492181.1;ENSP00000397384.2;ENSP00000491065.1;ENSP00000492769.1;ENSP00000492476.1;ENSP00000492316.1;ENSP00000491779.1;ENSP00000368427.2;ENSP00000492177.1;ENSP00000492658.1;ENSP00000491679.1;ENSP00000491944.1;ENSP00000368418.6;ENSP00000492081.1;ENSP00000492111.1;ENSP00000490971.1;ENSP00000368403.2;ENSP00000490963.1;ENSP00000495109.1;ENSP00000388132.3;ENSP00000241001.8;ENSP00000368410.5;ENSP00000368424.2;ENSP00000480026.1;ENSP00000491862.1;ENSP00000491324.1;ENSP00000368401.2;ENSP00000492409.1;ENSP00000492802.1;ENSP00000491517.1;ENSP00000491214.1;ENSP00000431585.2;ENSP00000492166.1;ENSP00000492205.1;ENSP00000491229.1;ENSP00000492315.2;ENSP00000491904.1;	5080
Homo_sapiens	ZNF575	ENSG00000176472	zf-C2H2	ENSP00000315870.4;ENSP00000413956.2;ENSP00000471083.2;ENSP00000472578.1;	284346
Homo_sapiens	ZNF594	ENSG00000180626	zf-C2H2	ENSP00000382513.4;ENSP00000461032.1;	84622
Homo_sapiens	IRF6	ENSG00000117595	IRF	ENSP00000496669.1;ENSP00000403855.1;ENSP00000355988.3;	3664
Homo_sapiens	MSX1	ENSG00000163132	Homeobox	ENSP00000372170.4;	4487
Homo_sapiens	ZNF429	ENSG00000197013	zf-C2H2	ENSP00000351280.3;	353088
Homo_sapiens	ZNF718	ENSG00000250312	zf-C2H2	ENSP00000480556.1;ENSP00000476435.1;	255403
Homo_sapiens	ZNF107	ENSG00000196247	zf-C2H2	ENSP00000343443.3;ENSP00000400037.1;ENSP00000481898.1;ENSP00000483720.1;	51427
Homo_sapiens	SATB1	ENSG00000182568	CUT	ENSP00000399708.2;ENSP00000399518.1;ENSP00000341024.5;	6304
Homo_sapiens	ADNP	ENSG00000101126	Homeobox	ENSP00000483881.1;ENSP00000495540.1;ENSP00000379346.3;ENSP00000360662.2;ENSP00000501294.1;ENSP00000342905.3;ENSP00000379349.2;	23394
Homo_sapiens		ENSG00000269825	zf-C2H2	ENSP00000506273.1;	NA
Homo_sapiens	ZSCAN26	ENSG00000197062	zf-C2H2	ENSP00000479314.1;ENSP00000484931.1;ENSP00000481707.1;ENSP00000484018.1;ENSP00000478769.1;ENSP00000485228.1;	7741
Homo_sapiens	NFATC3	ENSG00000072736	RHD	ENSP00000460533.1;ENSP00000300659.5;ENSP00000331324.4;ENSP00000456379.1;ENSP00000264008.6;ENSP00000456120.1;	4775
Homo_sapiens	MITF	ENSG00000187098	bHLH	ENSP00000509358.1;ENSP00000324443.5;ENSP00000377880.3;ENSP00000324246.6;ENSP00000510225.1;ENSP00000494105.1;ENSP00000391803.3;ENSP00000295600.8;ENSP00000418845.1;ENSP00000398639.1;ENSP00000509845.1;ENSP00000435909.1;	4286
Homo_sapiens	KLF6	ENSG00000067082	zf-C2H2	ENSP00000419923.1;	1316
Homo_sapiens	ETV4	ENSG00000175832	ETS	ENSP00000465718.1;ENSP00000377273.1;ENSP00000443846.1;ENSP00000441749.1;ENSP00000321835.4;ENSP00000468636.1;ENSP00000440023.1;	2118
Homo_sapiens	CREB3	ENSG00000107175	TF_bZIP	ENSP00000342136.2;	NA
Homo_sapiens	TBR1	ENSG00000136535	T-box	ENSP00000374205.3;ENSP00000387023.1;ENSP00000393934.1;	NA
Homo_sapiens	MXD1	ENSG00000059728	bHLH	ENSP00000386523.2;ENSP00000410672.1;ENSP00000443935.1;ENSP00000264444.2;	4084
Homo_sapiens	ZSCAN25	ENSG00000197037	zf-C2H2	ENSP00000377708.2;ENSP00000334800.3;ENSP00000262941.7;	221785
Homo_sapiens	PRDM9	ENSG00000164256	zf-C2H2	ENSP00000296682.4;	56979
Homo_sapiens	ZNF652	ENSG00000198740	zf-C2H2	ENSP00000416305.2;ENSP00000424848.1;ENSP00000354686.2;	22834
Homo_sapiens	ZNF654	ENSG00000175105	zf-C2H2	ENSP00000490842.1;	55279
Homo_sapiens	TBX6	ENSG00000149922	T-box	ENSP00000279386.2;ENSP00000461223.1;ENSP00000378650.2;ENSP00000460425.1;	6911
Homo_sapiens	EBF3	ENSG00000108001	COE	ENSP00000347463.4;ENSP00000387543.2;ENSP00000357637.3;	253738
Homo_sapiens	ZNF84	ENSG00000198040	zf-C2H2	ENSP00000331465.7;ENSP00000445820.1;ENSP00000376133.2;ENSP00000445549.1;ENSP00000437949.1;	7637
Homo_sapiens	ATOH8	ENSG00000168874	bHLH	ENSP00000304676.3;	84913
Homo_sapiens	FOXD4L4	ENSG00000184659	Fork_head	ENSP00000366630.1;	349334
Homo_sapiens	KLF13	ENSG00000169926	zf-C2H2	ENSP00000302456.3;ENSP00000452609.1;	51621
Homo_sapiens	CCDC169-SOHLH2	ENSG00000250709	bHLH	ENSP00000421868.1;	100526761
Homo_sapiens	ZNF469	ENSG00000225614	zf-C2H2	ENSP00000456500.2;ENSP00000402343.1;	84627
Homo_sapiens	ZBTB22	ENSG00000236104	ZBTB	ENSP00000404403.1;ENSP00000404403.1;ENSP00000407545.2;	9278
Homo_sapiens	PAX7	ENSG00000009709	PAX	ENSP00000364524.3;ENSP00000383502.3;ENSP00000403389.2;	5081
Homo_sapiens	ZNF547	ENSG00000152433	zf-C2H2	ENSP00000282282.3;	284306
Homo_sapiens	ZNF626	ENSG00000188171	zf-C2H2	ENSP00000469958.1;ENSP00000469566.1;	199777
Homo_sapiens	TBX22	ENSG00000122145	T-box	ENSP00000362393.3;ENSP00000362390.5;ENSP00000487527.1;	50945
Homo_sapiens	ZNF563	ENSG00000188868	zf-C2H2	ENSP00000471960.1;ENSP00000469879.1;ENSP00000293725.5;	147837
Homo_sapiens	HOXA13	ENSG00000106031	Homeobox	ENSP00000497112.1;	3209
Homo_sapiens	ZNF442	ENSG00000198342	zf-C2H2	ENSP00000440162.2;ENSP00000242804.4;ENSP00000388634.1;ENSP00000404935.1;	79973
Homo_sapiens	SRY	ENSG00000184895	HMG	ENSP00000372547.1;	6736
Homo_sapiens	ZFP92	ENSG00000189420	zf-C2H2	ENSP00000462054.1;	139735
Homo_sapiens	DBP	ENSG00000105516	TF_bZIP	ENSP00000222122.4;ENSP00000469426.1;ENSP00000471220.1;	1628
Homo_sapiens	ARX	ENSG00000004848	Homeobox	ENSP00000368332.4;	170302
Homo_sapiens	ZHX3	ENSG00000174306	Homeobox	ENSP00000452965.1;ENSP00000506788.1;ENSP00000415498.3;ENSP00000443783.2;ENSP00000312222.4;ENSP00000405421.1;ENSP00000454006.1;	23051
Homo_sapiens		ENSG00000257184	Homeobox	ENSP00000421799.3;	NA
Homo_sapiens	ZFY	ENSG00000067646	zf-C2H2	ENSP00000372525.1;ENSP00000155093.3;ENSP00000393908.1;ENSP00000485605.1;	7544
Homo_sapiens	CREB3L1	ENSG00000157613	TF_bZIP	ENSP00000436574.1;ENSP00000481956.1;	90993
Homo_sapiens	ZSCAN10	ENSG00000130182	zf-C2H2	ENSP00000440047.2;ENSP00000458879.2;ENSP00000252463.2;ENSP00000459520.1;	84891
Homo_sapiens	EGR2	ENSG00000122877	zf-C2H2	ENSP00000387634.1;ENSP00000509830.1;ENSP00000490154.2;ENSP00000242480.3;	1959
Homo_sapiens	ZNF775	ENSG00000196456	zf-C2H2	ENSP00000330838.5;ENSP00000419336.1;ENSP00000417483.1;	NA
Homo_sapiens	GSC	ENSG00000133937	Homeobox	ENSP00000238558.3;	145258
Homo_sapiens	NKX2-4	ENSG00000125816	Homeobox	ENSP00000345147.4;	NA
Homo_sapiens	NFATC4	ENSG00000100968	RHD	ENSP00000452270.1;ENSP00000450733.1;ENSP00000450469.1;ENSP00000250373.4;ENSP00000451395.1;ENSP00000451502.1;ENSP00000451183.1;ENSP00000451454.1;ENSP00000450810.1;ENSP00000396788.3;ENSP00000452349.1;ENSP00000439350.2;ENSP00000450644.1;ENSP00000388910.2;ENSP00000388668.2;ENSP00000451224.1;ENSP00000451151.1;ENSP00000450590.1;ENSP00000452039.1;ENSP00000450686.1;ENSP00000451284.1;	4776
Homo_sapiens	ZBTB46	ENSG00000130584	ZBTB	ENSP00000303102.2;ENSP00000303102.2;ENSP00000245663.3;ENSP00000245663.3;ENSP00000378536.1;	140685
Homo_sapiens	ZIC4	ENSG00000174963	zf-C2H2	ENSP00000418277.1;ENSP00000435509.2;ENSP00000420775.1;ENSP00000372553.3;ENSP00000417855.1;ENSP00000397695.3;ENSP00000420627.2;	84107
Homo_sapiens	MEF2A	ENSG00000068305	SRF	ENSP00000453478.1;ENSP00000452989.1;ENSP00000508747.1;ENSP00000509700.1;ENSP00000346389.5;ENSP00000454023.1;ENSP00000453095.1;ENSP00000453441.1;ENSP00000509137.1;ENSP00000509537.1;ENSP00000337202.8;	4205
Homo_sapiens	ID1	ENSG00000125968	bHLH	ENSP00000365273.3;ENSP00000365280.3;	3397
Homo_sapiens	TULP2	ENSG00000104804	Tub	ENSP00000429131.1;ENSP00000221399.3;	7288
Homo_sapiens	MGA	ENSG00000174197	T-box	ENSP00000457474.1;ENSP00000219905.7;ENSP00000457035.2;ENSP00000455155.2;ENSP00000456141.1;	23269
Homo_sapiens	MYBL2	ENSG00000101057	MYB	ENSP00000380072.4;ENSP00000217026.4;	4605
Homo_sapiens	ZNF606	ENSG00000166704	zf-C2H2	ENSP00000446972.2;ENSP00000343617.4;	80095
Homo_sapiens	TULP4	ENSG00000130338	Tub	ENSP00000356064.3;	56995
Homo_sapiens	GATA1	ENSG00000102145	zf-GATA	ENSP00000365858.3;ENSP00000365853.3;ENSP00000498550.1;	2623
Homo_sapiens	FOXR2	ENSG00000189299	Fork_head	ENSP00000427329.2;	139628
Homo_sapiens	AHR	ENSG00000106546	bHLH	ENSP00000436466.1;ENSP00000242057.4;ENSP00000495987.1;	196
Homo_sapiens	HOXB3	ENSG00000120093	Homeobox	ENSP00000449977.1;ENSP00000418892.1;ENSP00000308252.4;ENSP00000418035.1;ENSP00000418729.1;ENSP00000420595.1;ENSP00000419676.1;ENSP00000417207.1;	3213
Homo_sapiens	ZNF230	ENSG00000159882	zf-C2H2	ENSP00000409318.1;	7773
Homo_sapiens	PBX1	ENSG00000185630	Homeobox	ENSP00000485692.1;ENSP00000439943.2;ENSP00000453188.1;ENSP00000356872.1;ENSP00000452727.1;ENSP00000483563.1;ENSP00000405890.2;	5087
Homo_sapiens	MTA3	ENSG00000057935	zf-GATA	ENSP00000383973.1;ENSP00000385045.3;ENSP00000385823.1;ENSP00000391455.1;ENSP00000384249.1;ENSP00000385241.1;ENSP00000386763.1;	57504
Homo_sapiens	CSRNP2	ENSG00000110925	CSRNP_N	ENSP00000447065.1;ENSP00000228515.1;ENSP00000447657.1;ENSP00000447983.1;	81566
Homo_sapiens	ZBED2	ENSG00000177494	zf-BED	ENSP00000321370.4;	NA
